% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.702	1	1	71	3	1	8	421	0	0
0.719	1	1	72	10	1	4	217	0	0
0.72	1	1	73	1	1	6	309	0	0
0.721	1	1	73	2	1	6	309	0	0
0.722	1	1	73	3	1	14	775	0	0
0.739	1	1	74	10	1	12	597	0	0
0.74	1	1	75	1	1	16	903	0	0
0.802	1	2	81	3	2	18	967	0	0
0.811	1	1	82	2	1	6	309	0	0
0.814	1	1	82	5	1	8	421	0	0
0.815	1	1	82	6	1	8	421	0	0
0.816	1	1	82	7	1	8	421	0	0
0.817	1	1	82	8	1	8	421	0	0
0.818	1	1	82	9	1	4	217	0	0
0.819	1	2	82	10	2	20	1191	0	0
0.82	1	2	83	1	2	22	1383	0	0
0.821	1	1	83	2	1	18	967	0	0
0.822	1	1	83	3	1	18	967	0	0
0.836	1	1	84	7	1	0	81	0	0
0.837	1	1	84	8	1	0	81	0	0
0.838	1	2	84	9	2	22	1383	0	0
0.839	1	1	84	10	1	14	775	0	0
0.84	1	1	85	1	1	16	903	0	0
0.841	1	1	85	2	1	16	903	0	0
0.842	1	1	85	3	1	8	421	0	0
0.843	1	1	85	4	1	8	421	0	0
0.856	1	2	86	7	2	18	967	0	0
0.857	1	2	86	8	2	18	967	0	0
0.858	1	2	86	9	2	20	1191	0	0
0.859	1	2	86	10	2	20	1191	0	0
0.862	1	1	87	3	1	6	309	0	0
0.863	1	1	87	4	1	6	309	0	0
0.864	1	1	87	5	1	4	217	0	0
0.865	1	1	87	6	1	4	217	0	0
0.868	1	1	87	9	1	6	309	0	0
0.869	1	1	87	10	1	6	309	0	0
0.87	1	1	88	1	1	8	421	0	0
0.871	1	1	88	2	1	8	421	0	0
0.872	1	1	88	3	1	6	309	0	0
0.873	1	1	88	4	1	6	309	0	0
0.874	1	1	88	5	1	12	597	0	0
0.875	1	1	88	6	1	12	597	0	0
0.876	1	2	88	7	2	22	1383	0	0
0.877	1	2	88	8	2	22	1383	0	0
0.878	1	2	88	9	2	22	1383	0	0
0.879	1	1	88	10	1	10	469	0	0
0.88	1	1	89	1	1	6	309	0	0
0.881	1	1	89	2	1	6	309	0	0
0.882	1	1	89	3	1	14	775	0	0
0.883	1	1	89	4	1	14	775	0	0
0.889	1	1	89	10	1	10	469	0	0
0.89	1	1	90	1	1	8	421	0	0
0.891	1	1	90	2	1	8	421	0	0
0.892	1	1	90	3	1	4	217	0	0
0.893	1	1	90	4	1	4	217	0	0
0.894	1	2	90	5	2	14	775	0	0
0.895	1	2	90	6	2	14	775	0	0
0.896	1	2	90	7	2	16	903	0	0
0.897	1	2	90	8	2	16	903	0	0
0.898	1	1	90	9	1	6	309	0	0
0.899	1	1	90	10	1	6	309	0	0
0.9	1	1	91	1	1	14	775	0	0
0.901	1	1	91	2	1	14	775	0	0
0.902	1	2	91	3	2	24	1620	0	0
0.903	1	2	91	4	2	24	1620	0	0
0.904	1	1	91	5	1	16	903	0	0
0.905	1	1	91	6	1	16	903	0	0
0.906	1	1	91	7	1	14	775	0	0
0.907	1	1	91	8	1	14	775	0	0
0.908	1	1	91	9	1	14	775	0	0
0.909	1	1	91	10	1	14	775	0	0
0.91	1	1	92	1	1	14	775	0	0
0.911	1	1	92	2	1	14	775	0	0
0.914	1	2	92	5	2	22	1383	0	0
0.915	1	2	92	6	2	22	1383	0	0
0.916	1	2	92	7	2	10	469	0	0
0.917	1	2	92	8	2	10	469	0	0
0.918	1	2	92	9	2	22	1383	0	0
0.919	1	2	92	10	2	22	1383	0	0
0.92	1	2	93	1	2	18	967	0	0
0.921	1	2	93	2	2	18	967	0	0
0.922	1	2	93	3	2	18	967	0	0
0.923	1	2	93	4	2	18	967	0	0
0.933	1	2	94	4	2	18	967	0	0
0.934	1	2	94	5	2	26	1836	0	0
0.935	1	2	94	6	2	26	1836	0	0
0.936	1	2	94	7	2	22	1383	0	0
0.937	1	2	94	8	2	22	1383	0	0
0.938	1	2	94	9	2	0	81	0	0
0.939	1	2	94	10	2	0	81	0	0
0.94	1	2	95	1	2	16	903	0	0
0.941	1	2	95	2	2	16	903	0	0
0.942	1	2	95	3	2	22	1383	0	0
0.943	1	2	95	4	2	22	1383	0	0
0.944	1	2	95	5	2	24	1620	0	0
0.952	1	2	96	3	2	16	903	0	0
0.953	1	2	96	4	2	16	903	0	0
0.954	1	2	96	5	2	0	81	0	0
0.955	1	2	96	6	2	0	81	0	0
0.956	1	2	96	7	2	18	967	0	0
0.957	1	2	96	8	2	18	967	0	0
0.958	1	2	96	9	2	8	421	0	0
0.959	1	2	96	10	2	8	421	0	0
0.96	1	2	97	1	2	18	967	0	0
0.961	1	2	97	2	2	18	967	0	0
0.962	1	2	97	3	2	20	1191	0	0
0.963	1	2	97	4	2	20	1191	0	0
0.964	1	2	97	5	2	16	903	0	0
0.965	1	2	97	6	2	16	903	0	0
0.966	1	2	97	7	2	18	967	0	0
0.967	1	2	97	8	2	18	967	0	0
0.968	1	2	97	9	2	14	775	0	0
0.969	1	2	97	10	2	14	775	0	0
0.971	1	2	98	2	2	14	775	0	0
0.972	1	2	98	3	2	16	903	0	0
0.973	1	2	98	4	2	16	903	0	0
0.974	1	2	98	5	2	22	1383	0	0
0.975	1	2	98	6	2	22	1383	0	0
0.976	1	2	98	7	2	14	775	0	0
0.977	1	2	98	8	2	14	775	0	0
0.978	1	2	98	9	2	12	597	0	0
0.979	1	2	98	10	2	12	597	0	0
0.982	1	2	99	3	2	18	967	0	0
0.983	1	2	99	4	2	18	967	0	0
0.984	1	2	99	5	2	2	133	0	0
0.985	1	2	99	6	2	2	133	0	0
0.986	1	2	99	7	2	24	1620	0	0
0.987	1	2	99	8	2	24	1620	0	0
0.988	1	2	99	9	2	22	1383	0	0
0.989	1	2	99	10	2	22	1383	0	0
0.99	1	2	100	1	2	20	1191	0	0
0.991	1	2	100	2	2	20	1191	0	0
0.992	1	2	100	3	2	24	1620	0	0
1.002	1	2	101	3	2	20	1191	0	0
1.004	1	2	101	5	2	16	903	0	0
1.005	1	2	101	6	2	16	903	0	0
1.006	1	2	101	7	2	26	1836	0	0
1.007	1	2	101	8	2	26	1836	0	0
1.008	1	2	101	9	2	18	967	0	0
1.009	1	2	101	10	2	18	967	0	0
1.02	1	2	103	1	2	16	903	0	0
1.021	1	2	103	2	2	16	903	0	0
1.022	1	2	103	3	2	22	1383	0	0
1.023	1	2	103	4	2	22	1383	0	0
1.024	1	2	103	5	2	20	1191	0	0
1.025	1	2	103	6	2	20	1191	0	0
1.026	1	2	103	7	2	18	967	0	0
1.039	1	2	104	10	2	20	1191	0	0
1.04	1	2	105	1	2	20	1191	0	0
1.041	1	2	105	2	2	20	1191	0	0
1.042	1	2	105	3	2	20	1191	0	0
1.043	1	2	105	4	2	20	1191	0	0
1.044	1	2	105	5	2	12	597	0	0
1.045	1	2	105	6	2	12	597	0	0
1.046	1	2	105	7	2	20	1191	0	0
1.047	1	2	105	8	2	20	1191	0	0
1.057	1	2	106	8	2	18	967	0	0
1.058	1	2	106	9	2	10	469	0	0
1.059	1	2	106	10	2	10	469	0	0
1.06	1	2	107	1	2	20	1191	0	0
1.061	1	2	107	2	2	20	1191	0	0
1.062	1	2	107	3	2	22	1383	0	0
1.063	1	2	107	4	2	22	1383	0	0
1.064	1	2	107	5	2	14	775	0	0
1.065	1	2	107	6	2	14	775	0	0
1.066	1	2	107	7	2	20	1191	0	0
