% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	3.39494e-15	17.978
0.000214285	1	2	0	1.80766e-14	95.7249
0.00121429	1	1	0	9.20292e-15	48.7343
0.00121429	1	2	0	8.53536e-15	45.1992
0.00221428	1	1	0	9.06446e-15	48.001
0.00221428	1	2	0	3.44515e-15	18.2439
0.00321428	1	1	0	5.38105e-15	28.4954
0.00321428	1	2	0	1.82391e-14	96.5855
0.00421428	1	1	0	1.59724e-15	8.45823
0.00421428	1	2	0	3.54593e-14	187.775
0.00521428	1	1	0	1.30514e-15	6.91142
0.00521428	1	2	0	3.06036e-14	162.062
0.00621428	1	1	0	4.10553e-15	21.7409
0.00621428	1	2	0	1.0136e-14	53.6753
0.00721428	1	1	0	6.19926e-15	32.8283
0.00721428	1	2	0	5.28776e-17	0.280015
0.00821428	1	1	0	5.06279e-15	26.8101
0.00821428	1	2	0	6.61069e-15	35.0071
0.00921428	1	1	0	2.09417e-15	11.0897
0.00921428	1	2	0	1.14563e-14	60.6673
0.0102143	1	1	0	2.88428e-16	1.52737
0.0102143	1	2	0	4.83234e-15	25.5897
0.0112143	1	1	0	4.04501e-16	2.14204
0.0112143	1	2	0	5.49632e-16	2.91059
0.0122143	1	1	0	7.96065e-16	4.21558
0.0122143	1	2	0	1.14699e-14	60.739
0.0132143	1	1	0	3.98043e-16	2.10784
0.0132143	1	2	0	2.76098e-14	146.208
0.0142143	1	1	0	7.49771e-18	0.0397043
0.0142143	1	2	0	3.00797e-14	159.288
0.0152143	1	1	0	4.05328e-16	2.14642
0.0152143	1	2	0	1.69408e-14	89.7102
0.0162143	1	1	0	8.65479e-16	4.58316
0.0162143	1	2	0	3.37579e-15	17.8766
0.0172143	1	1	0	6.31698e-16	3.34517
0.0172143	1	2	0	2.53678e-16	1.34335
0.0182143	1	1	0	6.82312e-16	3.6132
0.0182143	1	2	0	3.89193e-15	20.6098
0.0192143	1	1	0	2.29404e-15	12.1481
0.0192143	1	2	0	5.57902e-15	29.5438
0.0202143	1	1	0	4.38428e-15	23.2171
0.0202143	1	2	0	2.95082e-15	15.6261
0.0212143	1	1	1	4.40629e-15	23.3336
0.0212143	1	2	2	2.38497e-16	1.26296
0.0222143	1	1	1	2.15312e-15	11.4019
0.0222143	1	2	2	1.90965e-15	10.1126
0.0232143	1	1	1	7.65573e-16	4.05411
0.0232143	1	2	2	7.69646e-15	40.7568
0.0242143	1	1	1	2.54688e-15	13.487
0.0242143	1	2	2	1.24091e-14	65.7126
0.0252143	1	1	1	5.39851e-15	28.5879
0.0252143	1	2	2	1.1384e-14	60.2844
0.0262143	1	1	1	5.45593e-15	28.892
0.0262143	1	2	2	8.01717e-15	42.4551
0.0272143	1	1	1	2.52912e-15	13.393
0.0272143	1	2	2	1.22351e-14	64.7911
0.0282143	1	1	1	4.66287e-16	2.46924
0.0282143	1	2	2	2.81862e-14	149.261
0.0292143	1	1	1	1.76822e-15	9.36365
