% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
704	1	1	1	0	8	421	0	1
721	1	1	1	0	4	217	0	1
722	1	1	1	0	6	309	0	1
723	1	1	1	0	6	309	0	1
724	1	1	1	0	14	775	0	1
741	1	1	1	0	12	597	0	1
742	1	1	1	0	16	903	0	1
804	1	2	2	0	18	967	0	1
813	1	1	1	0	6	309	0	1
816	1	1	1	0	8	421	0	1
817	1	1	1	0	8	421	0	1
818	1	1	1	0	8	421	0	1
819	1	1	1	0	8	421	0	1
820	1	1	1	0	4	217	0	1
821	1	2	2	0	20	1191	0	1
822	1	2	2	0	22	1383	0	1
823	1	1	1	0	18	967	0	1
824	1	1	1	0	18	967	0	1
838	1	1	1	0	0	81	0	1
839	1	1	1	0	0	81	0	1
840	1	2	2	0	22	1383	0	1
841	1	1	1	0	14	775	0	1
842	1	1	1	0	16	903	0	1
843	1	1	1	0	16	903	0	1
844	1	1	1	0	8	421	0	1
845	1	1	1	0	8	421	0	1
858	1	2	2	0	18	967	0	1
859	1	2	2	0	18	967	0	1
860	1	2	2	0	20	1191	0	1
861	1	2	2	0	20	1191	0	1
864	1	1	1	0	6	309	0	1
865	1	1	1	0	6	309	0	1
866	1	1	1	0	4	217	0	1
867	1	1	1	0	4	217	0	1
870	1	1	1	0	6	309	0	1
871	1	1	1	0	6	309	0	1
872	1	1	1	0	8	421	0	1
873	1	1	1	0	8	421	0	1
874	1	1	1	0	6	309	0	1
875	1	1	1	0	6	309	0	1
876	1	1	1	0	12	597	0	1
877	1	1	1	0	12	597	0	1
878	1	2	2	0	22	1383	0	1
879	1	2	2	0	22	1383	0	1
880	1	2	2	0	22	1383	0	1
881	1	1	1	0	10	469	0	1
882	1	1	1	0	6	309	0	1
883	1	1	1	0	6	309	0	1
884	1	1	1	0	14	775	0	1
885	1	1	1	0	14	775	0	1
891	1	1	1	0	10	469	0	1
892	1	1	1	0	8	421	0	1
893	1	1	1	0	8	421	0	1
894	1	1	1	0	4	217	0	1
895	1	1	1	0	4	217	0	1
896	1	2	2	0	14	775	0	1
897	1	2	2	0	14	775	0	1
898	1	2	2	0	16	903	0	1
899	1	2	2	0	16	903	0	1
900	1	1	1	0	6	309	0	1
901	1	1	1	0	6	309	0	1
902	1	1	1	0	14	775	0	1
903	1	1	1	0	14	775	0	1
904	1	2	2	0	24	1620	0	1
905	1	2	2	0	24	1620	0	1
906	1	1	1	0	16	903	0	1
907	1	1	1	0	16	903	0	1
908	1	1	1	0	14	775	0	1
909	1	1	1	0	14	775	0	1
910	1	1	1	0	14	775	0	1
911	1	1	1	0	14	775	0	1
912	1	1	1	0	14	775	0	1
913	1	1	1	0	14	775	0	1
916	1	2	2	0	22	1383	0	1
917	1	2	2	0	22	1383	0	1
918	1	2	2	0	10	469	0	1
919	1	2	2	0	10	469	0	1
920	1	2	2	0	22	1383	0	1
921	1	2	2	0	22	1383	0	1
922	1	2	2	0	18	967	0	1
923	1	2	2	0	18	967	0	1
924	1	2	2	0	18	967	0	1
925	1	2	2	0	18	967	0	1
935	1	2	2	0	18	967	0	1
936	1	2	2	0	26	1836	0	1
937	1	2	2	0	26	1836	0	1
938	1	2	2	0	22	1383	0	1
939	1	2	2	0	22	1383	0	1
940	1	2	2	0	0	81	0	1
941	1	2	2	0	0	81	0	1
942	1	2	2	0	16	903	0	1
943	1	2	2	0	16	903	0	1
944	1	2	2	0	22	1383	0	1
945	1	2	2	0	22	1383	0	1
946	1	2	2	0	24	1620	0	1
954	1	2	2	0	16	903	0	1
955	1	2	2	0	16	903	0	1
956	1	2	2	0	0	81	0	1
957	1	2	2	0	0	81	0	1
958	1	2	2	0	18	967	0	1
959	1	2	2	0	18	967	0	1
960	1	2	2	0	8	421	0	1
961	1	2	2	0	8	421	0	1
962	1	2	2	0	18	967	0	1
963	1	2	2	0	18	967	0	1
964	1	2	2	0	20	1191	0	1
965	1	2	2	0	20	1191	0	1
966	1	2	2	0	16	903	0	1
967	1	2	2	0	16	903	0	1
968	1	2	2	0	18	967	0	1
969	1	2	2	0	18	967	0	1
970	1	2	2	0	14	775	0	1
971	1	2	2	0	14	775	0	1
973	1	2	2	0	14	775	0	1
974	1	2	2	0	16	903	0	1
975	1	2	2	0	16	903	0	1
976	1	2	2	0	22	1383	0	1
977	1	2	2	0	22	1383	0	1
978	1	2	2	0	14	775	0	1
979	1	2	2	0	14	775	0	1
980	1	2	2	0	12	597	0	1
981	1	2	2	0	12	597	0	1
984	1	2	2	0	18	967	0	1
985	1	2	2	0	18	967	0	1
986	1	2	2	0	2	133	0	1
987	1	2	2	0	2	133	0	1
988	1	2	2	0	24	1620	0	1
989	1	2	2	0	24	1620	0	1
990	1	2	2	0	22	1383	0	1
991	1	2	2	0	22	1383	0	1
992	1	2	2	0	20	1191	0	1
993	1	2	2	0	20	1191	0	1
994	1	2	2	0	24	1620	0	1
1004	1	2	2	0	20	1191	0	1
1006	1	2	2	0	16	903	0	1
1007	1	2	2	0	16	903	0	1
1008	1	2	2	0	26	1836	0	1
1009	1	2	2	0	26	1836	0	1
1010	1	2	2	0	18	967	0	1
1011	1	2	2	0	18	967	0	1
1022	1	2	2	0	16	903	0	1
1023	1	2	2	0	16	903	0	1
1024	1	2	2	0	22	1383	0	1
1025	1	2	2	0	22	1383	0	1
1026	1	2	2	0	20	1191	0	1
1027	1	2	2	0	20	1191	0	1
1028	1	2	2	0	18	967	0	1
1041	1	2	2	0	20	1191	0	1
1042	1	2	2	0	20	1191	0	1
1043	1	2	2	0	20	1191	0	1
1044	1	2	2	0	20	1191	0	1
1045	1	2	2	0	20	1191	0	1
1046	1	2	2	0	12	597	0	1
1047	1	2	2	0	12	597	0	1
1048	1	2	2	0	20	1191	0	1
1049	1	2	2	0	20	1191	0	1
1059	1	2	2	0	18	967	0	1
1060	1	2	2	0	10	469	0	1
1061	1	2	2	0	10	469	0	1
