% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.71	1	1	72	1	1	4	225
0.729	1	1	73	10	1	4	225
0.801	1	1	81	2	1	2	137
0.81	1	2	82	1	2	6	325
0.826	1	1	83	7	1	8	437
0.828	1	2	83	9	2	2	137
0.846	1	2	85	7	2	14	807
0.848	1	1	85	9	1	8	437
0.851	1	1	86	2	1	8	437
0.866	1	2	87	7	2	8	437
0.879	1	1	88	10	1	2	137
0.883	1	1	89	4	1	2	137
0.884	1	2	89	5	2	18	999
0.886	1	2	89	7	2	18	999
0.891	1	1	90	2	1	8	437
0.904	1	2	91	5	2	18	999
0.91	1	2	92	1	2	18	485
0.911	1	2	92	2	2	20	597
0.923	1	2	93	4	2	20	597
0.926	1	2	93	7	2	20	597
0.927	1	2	93	8	2	20	597
0.93	1	2	94	1	2	18	485
0.942	1	2	95	3	2	18	485
0.943	1	2	95	4	2	18	485
0.944	1	2	95	5	2	18	485
0.946	1	2	95	7	2	18	485
0.95	1	2	96	1	2	16	453
0.951	1	2	96	2	2	18	485
0.961	1	2	97	2	2	18	485
0.965	1	2	97	6	2	8	209
0.968	1	2	97	9	2	8	209
0.97	1	2	98	1	2	8	209
0.972	1	2	98	3	2	18	485
0.974	1	2	98	5	2	18	485
0.977	1	2	98	8	2	10	233
0.98	1	2	99	1	2	10	233
0.981	1	2	99	2	2	2	65
0.982	1	2	99	3	2	2	65
0.983	1	2	99	4	2	2	65
0.984	1	2	99	5	2	14	389
0.985	1	2	99	6	2	14	389
0.986	1	2	99	7	2	14	389
0.99	1	2	100	1	2	6	153
0.991	1	2	100	2	2	0	41
0.992	1	2	100	3	2	0	41
0.994	1	2	100	5	2	0	41
0.995	1	2	100	6	2	0	41
0.996	1	2	100	7	2	0	41
0.997	1	2	100	8	2	14	389
0.998	1	2	100	9	2	10	233
0.999	1	2	100	10	2	4	105
1	1	2	101	1	2	4	105
1.001	1	2	101	2	2	12	301
1.01	1	2	102	1	2	6	153
1.013	1	2	102	4	2	6	153
1.014	1	2	102	5	2	6	153
1.015	1	2	102	6	2	6	153
1.016	1	2	102	7	2	6	153
1.02	1	2	103	1	2	6	153
1.021	1	2	103	2	2	6	153
1.029	1	2	103	10	2	6	153
1.03	1	2	104	1	2	6	153
1.031	1	2	104	2	2	6	153
1.032	1	2	104	3	2	6	153
1.033	1	2	104	4	2	6	153
1.034	1	2	104	5	2	6	153
1.035	1	2	104	6	2	6	153
1.036	1	2	104	7	2	6	153
1.047	1	2	105	8	2	16	453
1.048	1	2	105	9	2	16	453
1.049	1	2	105	10	2	16	453
1.05	1	2	106	1	2	16	453
1.051	1	2	106	2	2	16	453
1.052	1	2	106	3	2	16	453
1.054	1	2	106	5	2	16	453
1.055	1	2	106	6	2	18	485
1.066	1	2	107	7	2	18	485
1.068	1	2	107	9	2	18	485
1.069	1	2	107	10	2	18	485
1.07	1	2	108	1	2	18	485
1.071	1	2	108	2	2	18	485
1.072	1	2	108	3	2	18	485
1.073	1	2	108	4	2	18	485
1.074	1	2	108	5	2	18	485
1.085	1	2	109	6	2	10	233
1.087	1	2	109	8	2	10	233
1.088	1	2	109	9	2	10	233
1.089	1	2	109	10	2	10	233
1.09	1	2	110	1	2	10	233
1.091	1	2	110	2	2	10	233
1.092	1	2	110	3	2	8	209
1.093	1	2	110	4	2	8	209
1.094	1	2	110	5	2	6	153
1.095	1	2	110	6	2	4	105
1.103	1	2	111	4	2	4	105
1.104	1	2	111	5	2	4	105
1.105	1	2	111	6	2	4	105
1.106	1	2	111	7	2	4	105
1.107	1	2	111	8	2	4	105
1.108	1	2	111	9	2	4	105
1.109	1	2	111	10	2	4	105
1.11	1	2	112	1	2	16	453
1.111	1	2	112	2	2	18	485
1.112	1	2	112	3	2	18	485
1.113	1	2	112	4	2	12	301
1.121	1	1	113	2	1	2	65
1.121	1	2	113	2	2	6	153
1.122	1	1	113	3	1	2	65
1.122	1	2	113	3	2	12	301
1.123	1	1	113	4	1	2	65
1.123	1	2	113	4	2	12	301
1.124	1	1	113	5	1	2	65
1.124	1	2	113	5	2	12	301
1.125	1	1	113	6	1	2	137
1.126	1	2	113	7	2	12	621
1.129	1	2	113	10	2	12	621
1.131	1	2	114	2	2	2	137
1.141	1	2	115	2	2	2	137
1.144	1	2	115	5	2	2	137
1.146	1	2	115	7	2	2	137
1.147	1	2	115	8	2	2	137
1.148	1	2	115	9	2	12	621
1.15	1	1	116	1	1	4	225
1.152	1	1	116	3	1	4	225
1.153	1	1	116	4	1	4	225
1.162	1	1	117	3	1	4	105
1.163	1	1	117	4	1	4	105
1.173	1	1	118	4	1	8	209
1.179	1	1	118	10	1	8	209
1.186	1	1	119	7	1	2	65
1.194	1	1	120	5	1	2	65
1.195	1	1	120	6	1	2	65
1.196	1	1	120	7	1	2	65
1.197	1	1	120	8	1	2	65
1.198	1	1	120	9	1	2	65
1.199	1	1	120	10	1	2	65
1.2	1	1	121	1	1	2	65
1.201	1	1	121	2	1	6	153
1.202	1	1	121	3	1	4	105
1.203	1	1	121	4	1	2	65
1.204	1	1	121	5	1	0	41
1.211	1	1	122	2	1	6	153
1.218	1	1	122	9	1	6	153
1.22	1	1	123	1	1	6	153
1.221	1	1	123	2	1	6	153
1.227	1	1	123	8	1	12	301
1.232	1	1	124	3	1	12	301
1.234	1	1	124	5	1	14	389
1.235	1	1	124	6	1	14	389
1.238	1	1	124	9	1	14	389
1.245	1	1	125	6	1	0	41
1.246	1	1	125	7	1	0	41
1.247	1	1	125	8	1	0	41
1.25	1	1	126	1	1	0	41
1.251	1	1	126	2	1	0	41
1.257	1	1	126	8	1	2	65
1.26	1	1	127	1	1	2	65
1.264	1	1	127	5	1	2	65
1.265	1	1	127	6	1	2	65
1.28	1	1	129	1	1	0	41
1.281	1	1	129	2	1	6	153
1.282	1	2	129	3	2	14	807
1.285	1	1	129	6	1	6	325
1.302	1	2	131	3	2	18	999
1.303	1	2	131	4	2	18	999
1.305	1	2	131	6	2	18	999
1.306	1	2	131	7	2	18	999
1.308	1	2	131	9	2	18	999
1.31	1	2	132	1	2	6	325
1.312	1	2	132	3	2	4	225
1.323	1	1	133	4	1	6	153
1.323	1	2	133	4	2	4	105
1.325	1	2	133	6	2	4	225
