% time	cellId	IMSI	RNTI	sinrLinear
0.161	1	4	1	4.5443
0.162	1	7	2	11.6122
0.163	1	9	3	4.75528
0.164	1	5	4	0.421619
0.169	1	10	9	30.7855
0.17	1	2	10	6.42092
0.171	1	8	11	3.55166
0.172	1	6	12	1.63758
0.175	1	3	15	5.58108
0.176	1	1	16	4.5828
0.321	1	4	1	14.7495
0.322	1	7	2	9.79698
0.323	1	9	3	8.26105
0.324	1	5	4	18.2255
0.329	1	10	9	13.8853
0.33	1	2	10	2.85578
0.331	1	8	11	3.42742
0.332	1	6	12	9.11283
0.335	1	3	15	8.61206
0.336	1	1	16	0.8763
0.481	1	4	1	7.38109
0.482	1	7	2	2.173
0.483	1	9	3	17.0679
0.484	1	5	4	0.22924
0.489	1	10	9	31.3147
0.49	1	2	10	2.62017
0.491	1	8	11	4.18971
0.492	1	6	12	0.540865
0.495	1	3	15	4.54495
0.496	1	1	16	0.171272
0.641	1	4	1	3.79007
0.642	1	7	2	2.39152
0.643	1	9	3	1.08814
0.644	1	5	4	7.42303
0.649	1	10	9	17.4493
0.65	1	2	10	5.22835
0.651	1	8	11	0.5036
0.652	1	6	12	0.767342
0.655	1	3	15	0.450233
0.656	1	1	16	1.67449
0.801	1	4	1	2.26278
0.802	1	7	2	13.9643
0.803	1	9	3	29.4267
0.804	1	5	4	4.1403
0.809	1	10	9	1.68733
0.81	1	2	10	13.6234
0.811	1	8	11	1.23847
0.812	1	6	12	9.4702
0.815	1	3	15	2.1904
0.816	1	1	16	4.41066
0.961	1	4	1	2.05731
0.962	1	7	2	10.015
0.963	1	9	3	8.63701
0.964	1	5	4	2.36793
0.969	1	10	9	12.2205
0.97	1	2	10	0.190988
0.971	1	8	11	14.5739
0.972	1	6	12	0.839997
0.975	1	3	15	2.24536
0.976	1	1	16	3.01101
