% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
716	1	1	1	0	4	225	0	1
735	1	1	1	0	4	225	0	1
807	1	1	1	0	2	137	0	1
816	1	2	2	0	6	325	0	1
832	1	1	1	0	8	437	0	1
834	1	2	2	0	2	137	0	1
852	1	2	2	0	14	807	0	1
854	1	1	1	0	8	437	0	1
857	1	1	1	0	8	437	0	1
872	1	2	2	0	8	437	0	1
885	1	1	1	0	2	137	0	1
889	1	1	1	0	2	137	0	1
890	1	2	2	0	18	999	0	1
892	1	2	2	0	18	999	0	1
897	1	1	1	0	8	437	0	1
910	1	2	2	0	18	999	0	1
916	1	2	2	0	18	485	0	1
917	1	2	2	0	20	597	0	1
929	1	2	2	0	20	597	0	1
932	1	2	2	0	20	597	0	1
933	1	2	2	0	20	597	0	1
936	1	2	2	0	18	485	0	1
948	1	2	2	0	18	485	0	1
949	1	2	2	0	18	485	0	1
950	1	2	2	0	18	485	0	1
952	1	2	2	0	18	485	0	1
956	1	2	2	0	16	453	0	1
957	1	2	2	0	18	485	0	1
967	1	2	2	0	18	485	0	1
971	1	2	2	0	8	209	0	1
974	1	2	2	0	8	209	0	1
976	1	2	2	0	8	209	0	1
978	1	2	2	0	18	485	0	1
980	1	2	2	0	18	485	0	1
983	1	2	2	0	10	233	0	1
986	1	2	2	0	10	233	0	1
987	1	2	2	0	2	65	0	1
988	1	2	2	0	2	65	0	1
989	1	2	2	0	2	65	0	1
990	1	2	2	0	14	389	0	1
991	1	2	2	0	14	389	0	1
992	1	2	2	0	14	389	0	1
996	1	2	2	0	6	153	0	1
997	1	2	2	0	0	41	0	1
998	1	2	2	0	0	41	0	1
1000	1	2	2	0	0	41	0	1
1001	1	2	2	0	0	41	0	1
1002	1	2	2	0	0	41	0	1
1003	1	2	2	0	14	389	0	1
1004	1	2	2	0	10	233	0	1
1005	1	2	2	0	4	105	0	1
1006	1	2	2	0	4	105	0	1
1007	1	2	2	0	12	301	0	1
1016	1	2	2	0	6	153	0	1
1019	1	2	2	0	6	153	0	1
1020	1	2	2	0	6	153	0	1
1021	1	2	2	0	6	153	0	1
1022	1	2	2	0	6	153	0	1
1026	1	2	2	0	6	153	0	1
1027	1	2	2	0	6	153	0	1
1035	1	2	2	0	6	153	0	1
1036	1	2	2	0	6	153	0	1
1037	1	2	2	0	6	153	0	1
1038	1	2	2	0	6	153	0	1
1039	1	2	2	0	6	153	0	1
1040	1	2	2	0	6	153	0	1
1041	1	2	2	0	6	153	0	1
1042	1	2	2	0	6	153	0	1
1053	1	2	2	0	16	453	0	1
1054	1	2	2	0	16	453	0	1
1055	1	2	2	0	16	453	0	1
1056	1	2	2	0	16	453	0	1
1057	1	2	2	0	16	453	0	1
1058	1	2	2	0	16	453	0	1
1060	1	2	2	0	16	453	0	1
1061	1	2	2	0	18	485	0	1
1072	1	2	2	0	18	485	0	1
1074	1	2	2	0	18	485	0	1
1075	1	2	2	0	18	485	0	1
1076	1	2	2	0	18	485	0	1
1077	1	2	2	0	18	485	0	1
1078	1	2	2	0	18	485	0	1
1079	1	2	2	0	18	485	0	1
1080	1	2	2	0	18	485	0	1
1091	1	2	2	0	10	233	0	1
1093	1	2	2	0	10	233	0	1
1094	1	2	2	0	10	233	0	1
1095	1	2	2	0	10	233	0	1
1096	1	2	2	0	10	233	0	1
1097	1	2	2	0	10	233	0	1
1098	1	2	2	0	8	209	0	1
1099	1	2	2	0	8	209	0	1
1100	1	2	2	0	6	153	0	1
1101	1	2	2	0	4	105	0	1
1109	1	2	2	0	4	105	0	1
1110	1	2	2	0	4	105	0	1
1111	1	2	2	0	4	105	0	1
1112	1	2	2	0	4	105	0	1
1113	1	2	2	0	4	105	0	1
1114	1	2	2	0	4	105	0	1
1115	1	2	2	0	4	105	0	1
1116	1	2	2	0	16	453	0	1
1117	1	2	2	0	18	485	0	1
1118	1	2	2	0	18	485	0	1
1119	1	2	2	0	12	301	0	1
1127	1	1	1	0	2	65	0	1
1127	1	2	2	0	6	153	0	1
1128	1	1	1	0	2	65	0	1
1128	1	2	2	0	12	301	0	1
1129	1	1	1	0	2	65	0	1
1129	1	2	2	0	12	301	0	1
1130	1	1	1	0	2	65	0	1
1130	1	2	2	0	12	301	0	1
1131	1	1	1	0	2	137	0	1
1132	1	2	2	0	12	621	0	1
1135	1	2	2	0	12	621	0	1
1137	1	2	2	0	2	137	0	1
1147	1	2	2	0	2	137	0	1
